,title,text
260,Masters Of War,"

Come you masters of war
You that build the big guns
You that build the death planes
You that build all the bombs
You that hide behind walls
You that hide behind desks
I just want you to know
I can see through your masks

You that never done nothin'
But build to destroy
You play with my world
Like it's your little toy
You put a gun in my hand
And you hide from my eyes
And you turn and run farther
When the fast bullets fly

Like Judas of old
You lie and deceive
A world war can be won
You want me to believe
But I see through your eyes
And I see through your brain
Like I see through the water
That runs down my drain

You fasten all the triggers
For the others to fire
Then you set back and watch
When the death count gets higher
You hide in your mansion'
As young people's blood
Flows out of their bodies
And is buried in the mud

You've thrown the worst fear
That can ever be hurled
Fear to bring children
Into the world
For threatening my baby
Unborn and unnamed
You ain't worth the blood
That runs in your veins

How much do I know
To talk out of turn
You might say that I'm young
You might say I'm unlearned
But there's one thing I know
Though I'm younger than you
That even Jesus would never
Forgive what you do

Let me ask you one question
Is your money that good
Will it buy you forgiveness
Do you think that it could
I think you will find
When your death takes its toll
All the money you made
Will never buy back your soul

And I hope that you die
And your death'll come soon
I will follow your casket
In the pale afternoon
And I'll watch while you're lowered
Down to your deathbed
And I'll stand over your grave
'Til I'm sure that you're dead
"
261,Can't Wait,"

I can't wait, wait for you to change your mind
It's late, I'm tryin' to walk the line
Well, it's way past midnight
And there's some people all around
Some on their way up, some on their way down
The air burns and I'm tryin' to think straight
An' I don't know how much longer I can wait.

I'm your man, I'm tryin' to recover the sweet love that we knew
You understand that my heart can't go on beatin' without you
Well your loveliness has wounded me
I'm reelin' from the blow
I wish I knew what it was that keeps me lovin' you so
I'm breathin' hard, standin' at the gate
Ah, but I don't know how much longer I can wait.

Skies are gray
I'm lookin' for anything that will bring a happy glow
Night or day, it doesn't matter where I go anymore, I just go
If I ever saw you comin' I don't know what I might do
I'd like to think I could control myself but it isn't true
That's how it is when things disintegrate
And I don't know how much longer I can wait.

I'm doomed to love you
I've been rollin' through stormy weather
I'm thinkin' of you
And all the places we could roam together.

It's mighty funny
The end of time has just begun
Oh, honey, after all these years you're still the one
Well, I'm strollin' through the lonely graveyard of my mind
I left my life with you somewhere back there along the line
I thought somehow that I would be spared this fate
I don't know how much longer I can wait.
"
262,Gypsy Lou,"

If you getcha one girl, better get two
Case you run into Gypsy Lou
She's a ramblin' woman with a ramblin' mind
Always leavin' somebody behind
Hey, 'round the bend
Gypsy Lou's gone again
Gypsy Lou's gone again

Well, I seen the whole country through
Just to find Gypsy Lou
Seen it up, seen it down
Followin' Gypsy Lou around
Hey, 'round the bend
Gypsy Lou's gone again
Gypsy Lou's gone again

Well, I gotta stop and take some rest
My poor feet are second best
My poor feet are wearin' thin
Gypsy Lou's gone again
Hey, gone again
Gypsy Lou's 'round the bend
Gypsy Lou's 'round the bend

Well, seen her up in old Cheyenne
Turned my head and away she ran
From Denver Town to Wichita
Last I heard she's in Arkansas
Hey, 'round the bend
Gypsy Lou's gone again
Gypsy Lou's gone again

Well, I tell you what if you want to do
Tell you what, you'll wear out your shoes
If you want to wear out your shoes
Try and follow Gypsy Lou
Hey, gone again
Gypsy Lou's 'round the bend
Gypsy Lou's 'round the bend

Well, Gypsy Lou, I been told
Livin' down on Gallus Road
Gallus Road, Arlington
Moved away to Washington
Hey, 'round the bend
Gypsy Lou's gone again
Gypsy Lou's gone again

Well, I went down to Washington
Then she went to Oregon
I skipped the ground and hopped a train
She's back in Gallus Road again
Hey, I can't win
Gypsy Lou's gone again
Gypsy Lou's gone again

Well, the last I heard of Gypsy Lou
She's in a Memphis calaboose
She left one too many a boy behind
He committed suicide
Hey, you can't win
Gypsy Lou's gone again
Gypsy Lou's gone again
"
263,Two By Two,"

One by one they followed the sun
One by one until there where none
Two by two to their lovers they flew
Two by two into the foggy dew.

Three by three they danced on the sea
Four by four they danced on the shore
Five by five they tried to survive
Six by six they were playing with tricks.

How many paths did he try and fail
How many of their brothers and sisters linger in jail
How much poison did their inhale
How many black cats crossed their trail.

Seven by seven they head for heaven
Eight by eight their got to the gate
Nine by nine they drank the wine
Ten by ten they drank it again.

How many tomorrows have they given away
How many compared to yesterday
How many more without any reward
How many more can they afford.

Two by two they step into the ark
Two by two they step in the dark
Three by three they're turning the key
Four by four they turn it some more.

One by one they followed the sun
Two by two to another rendezvous
Three by three don't tread on me
Four by four they're loosing the war.

Five by five can't stay alive ......
"
264,On A Little Street In Singapore,"

On a little street in Singapore
We'd meet beside a lotus-covered door
A veil of moonlight on her lonely face
How pale the hands that held me in embrace

My sails tonight are filled with perfume of Shalimar
And temple bells will guide me to the shore
And then I'll hold her in my arms and love the way I loved before
On a little street in Singapore
"
265,Wallflower,"

Wallflower, wallflower
Won't you dance with me?
I'm sad and lonely too
Wallflower, wallflower
Won't you dance with me?
I'm fallin' in love with you

Just like you I'm wondrin' what I'm doin' here
Just like you I'm wondrin' what's goin' on

Wallflower, wallflower
Won't you dance with me?
The night will soon be gone

I have seen you standing in the smoky haze
And I know that you're gonna be mine one of these days
Mine alone

Wallflower, wallflower
Take a chance on me
Please let me ride you home
"
266,Highway 61 Revisited,"

Oh God said to Abraham, ""Kill me a son""
Abe says, ""Man, you must be puttin' me on""
God say, ""No."" Abe say, ""What?""
God say, ""You can do what you want Abe, but
The next time you see me comin' you better run""
Well Abe says, ""Where you want this killin' done?""
God says. ""Out on Highway 61""

Well Georgia Sam he had a bloody nose
Welfare Department they wouldn't give him no clothes
He asked poor Howard where can I go
Howard said there's only one place I know
Sam said tell me quick man I got to run
Ol' Howard just pointed with his gun
And said that way down on Highway 61

Well Mack the finger said to Louie the King
I got forty red white and blue shoe strings
And a thousand telephones that don't ring
Do you know where I can get rid of these things
And Louie the King said let me think for a minute son
And he said yes I think it can be easily done
Just take everything down to Highway 61

Now the fifth daughter on the twelfth night
Told the first father that things weren't right
My complexion she said is much too white
He said come here and step into the light he says hmmm you're right
Let me tell second mother this has been done
But the second mother was with the seventh son
And they were both out on Highway 61

Now the rowin' gambler he was very bored
He was tryin' to create a next world war
He found a promoter who nearly fell off the floor
He said I never engaged in this kind of thing before
But yes I think it can be very easily done
We'll just put some bleachers out in the sun
And have it on Highway 61
"
267,Million Miles,"

You took a part of me that I really miss
I keep askin' myself how long it can go on like this
You told yourself a lie - that's alright, mama, I told myself one too
I've tried to get closer but I'm still a million miles from you.

You took the silver, you took the gold
You left me standin' out in the cold
People ask about you, I didn't tell them everything I knew
Well, I've tried to get closer but I'm still a million miles from you.

I'm driftin' in and out of dreamless sleep
Throwin' all my memories in a ditch so deep
Did so many things I never did intend to do
Well, I've tried to get closer but I'm still a million miles from you.

I need your love so bad, turn your lamp down low
I need every bit of it for the places that I go
Sometimes I wonder 'til it's just what it's all coming to
Well, I've tried to get closer but I'm still a million miles from you.

Well, I don't dare close my eyes and I don't dare wink
Maybe in the next life I'll be able to hear myself think
Feel like talkin' to somebody but I just don't know who
Well, I've tried to get closer but I'm still a million miles from you.

Yes, the last thing you said before ya hit the street
Gonna find me a janitor to sweep me off my feet
I said, ""That's all right, mamma, you, you do what you gotta do""
Well, I've tried to get closer, I'm still a million miles from you.

Rock me, pretty baby, rock me all at once
Rock me for a little while, rock me for a couple of months
And I'll rock you too
I'm tryin' to get closer but I'm still a million miles from you.

Well, there's voices in the night tryin' to be heard
I'm sittin' here listening to every mind-pollutin' word
I know plenty of people put me up for a day or two
Yes, I'm tryin' to get closer but I'm still a million miles from you.
"
268,Roll On John,"

Doctor, doctor, tell me the time of day
Another bottle's empty
Another penny spent
He turned around and he slowly walked away
They shot him in the back and down he went

Shine your light,
Move it on,
You burned so bright,
Roll on John

From the Liverpool docks to the red light Hamburg streets
Down in the quarry with the Quarrymen.
Playing to the big crowds
Playing to the cheap seats
Another day in your life on your way to your journeyâs end

Shine your light,
Move it on,
You burned so bright,
Roll on John

Sailing through the trade winds bound for the sun
Rags on your back just like any other slave
They tied your hands and they clamped your mouth
Wasnât no way out of that deep dark cave

Shine your light,
Move it on,
You burned so bright,
Roll on John

I heard the news today, oh boy
They hauled your ship up on the shore
Now the cityâs gone dark
There is no more joy
They tore the heart right out and cut it to the core

Shine your light,
Move it on,
You burned so bright,
Roll on John

Put on your bags and get âem packed
Leave right now you wonât be far from wrong
The sooner you go, the quicker youâll be back
You've been cooped up on an island far too long

Shine your light,
Move it on,
You burned so bright,
Roll on John

Slow down youâre moving way too fast
Come together right now over me
Your bones are weary youâre about to breathe your last
Lord, you know how hard that it can be

Shine your light,
Move it on,
You burned so bright,
Roll on John

Roll on John, roll through the rain and snow
Take the right hand road and go where the buffalo roam
Theyâll trap you in an ambush before you know
Too late now to sail back home

Shine your light,
Move it on,
You burned so bright,
Roll on John

Tiger, Tiger burning bright
I pray the lord my soul to keep
In the forest of the night
Cover him over and let him sleep

Shine your light,
Move it on,
You burned so bright,
Roll on John
"
269,The Ballad Of Ira Hayes,"

Gather round you people and a story I will tell
About a brave young Indian you should remember well
From the tribe of Pima Indians, a proud and a peaceful band
They farmed the Phoenix Valley in Arizona land
Down their ditches for a thousand years the sparkling water rushed
Till their white man stole their water rights and the running water hushed
Now Ira's folks were hungry and their farms wene crops of weeds
But when war came he volunteers and forgot, the white man's greed
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war
Yes, call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war.

They started up Iwo Jima Hill, 250 men
But only 27 lived to walk back down that hill again
And when the fight was over and the old glory raised
One of the men who held it high was the Indian Ira Hayes
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war.

Now Ira returned a hero, celebrated throughout the land
He was wined and speeched and honored, everybody shook his hand
But he was just a Pima Indian, no money crops, no chance
And at home nobody cared what Ira had done and the wind did the Indian's dance
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war.

And Ira started drinking hard, jail was often his home
They let him raise the flag there and lower it like you'd throw a dog a bone
He died drunk early one morning, alone in the land he had fought to save
Two inches of water in a lonely ditch was the grave for Ira Hayes
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war
Yes, call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war.

Yes, call him, Drunken Ira Hayes, but his land is still as dry
And his ghost is lying thirsty in the ditch where Ira died
Call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war
Yes, call him, Drunken Ira Hayes, he won't answer anymore
Not the whiskey-drinking Indian or the marine who went to war.
"
270,Pretty Peggy-O,"

I've been around this whole country
But I never yet found Fenneario

Well, as we marched down, as we marched down
Well, as we marched down to Fennerio'
Well, our captain fell in love with a lady like a dove
Her name that she had was Pretty Peggy-O

Well, what will your mother say, what will your mother say
What will your mother say, Pretty Peggy-O
What will your mother say to know you're going away
You're never, never, never coming back-io?

Come a-running down your stairs
Come a-running down your stairs
Come a-running down your stairs, Pretty Peggy-O
Come a-running down your stairs
Combing back your yellow hair
You're the prettiest darned girl I ever seen-io

The lieutenant he has gone
The lieutenant he has gone
The lieutenant he has gone, Pretty Peggy-O
The lieutenant he has gone, long gone
He's a-riding down in Texas with the rodeo

Well, our captain he is dead, our captain he is dead
Our captain he is dead, Pretty Peggy-O
Well, our captain he is dead, died for a maid
He's buried somewhere in Louisiana-O
"
271,See That My Grave Kept Clean,"

Well there's one kind of favor I'll ask for you
Well there's one kind of favor I'll ask for you
There's just one kind of favor I'll ask for you
You can see that my grave is kept clean

And there's two white horses following me
And there's two white horses following me
I got two white horses following me
Waiting on my burying ground

Did you ever hear that coffin sound
Did you ever hear that coffin sound
Did you ever hear that coffin sound
Means another poor boy is underground

Did you ever hear them church bells toll
Did you ever hear them church bells toll
Did you ever hear them church bells toll
Means another poor boy is dead and gone

And my heart stopped beating and my hands turned cold
And my heart stopped beating and my hands turned cold
And my heart stopped beating and my hands turned cold
Now I believe what the Bible told

There's just one last favor I'll ask for you
And there's one last favor I'll ask for you
There's just one last favor I'll ask for you
See that my grave is kept clean
"
272,Spirit On The Water,"

Spirit on the water 
Darkness on the face of the deep 
I keep thinking about you baby 
I can hardly sleep 

I'm traveling by land 
Traveling through the dawn of day 
You're always on my mind 
I can't stay away

I had forgotten about you 
Then you turned up again 
I always knew 
We were meant to be more than friends 

When you're near 
It's just as plain as it can be 
I'm wild about you, girl
You ought to be a fool about me 

Can't explain 
The sources of this hidden pain 
You burned your way into my heart 
You got the key to my brain 

I've been trampling through mud 
Praying to the powers above 
I'm sweating blood 
You got a face that begs for love 

Life without you 
Doesn't mean a thing to me 
If I can't have you 
I'll throw my love into the deep blue sea 

Sometimes I wonder 
Why you can't treat me right 
You do good all day 
And then you do wrong all night 

When you're with me 
I'm a thousand times happier than I could ever say 
What does it matter 
What price I pay?

They brag about your sugar 
Brag about it all over town 
Put some sugar in my bowl 
I feel like laying down 

I'm as pale as a ghost 
Holding a blossom on a stem 
You ever seen a ghost?  
No, but you have heard of them 

I see you there 
I'm blinded by the colors I see 
I'll take good care 
Of what belongs to me 

I hear your name 
Ringing up and down the line 
I'm saying it plain 
These ties are strong enough to bind 

Now your sweet voice 
Calls out from some old familiar shrine 
I've got no choice 
Can't believe these things would ever fade from your mind 

I could live forever 
With you perfectly 
You don't ever 
Have to make a fuss over me 

>From East to West 
Ever since the world began 
I only mean it for the best 
I want to be with you in any way that I can 

I've been in a brawl 
Now I'm feeling the wall 
I'm going away baby 
I won't be back until fall 

High on the hill 
You can carry all my thoughts with you 
You've numbed my will 
This love could tear me in two 

I want be with you in paradise 
And it seems so unfair 
I can't go to paradise no more 
I killed a man back there 

You think I'm over the hill 
You think I'm past my prime 
Let me see what you got 
We can have a whopping good time
"
273,Lay Lady Lay,"

Lay, lady, lay, lay across my big brass bed
Lay, lady, lay, lay across my big brass bed
Whatever colors you have in your mind
I'll show them to you and you'll see them shine.

Lay, lady, lay, lay across my big brass bed
Stay, lady, stay, stay with your man awhile
Until the break of day, let me see you make him smile
His clothes are dirty but his hands are clean
And you're the best thing that he's ever seen.

Stay, lady, stay, stay with your man awhile
Why wait any longer for the world to begin
You can have your cake and eat it too
Why wait any longer for the one you love
When he's standing in front of you.

Lay, lady, lay, lay across my big brass bed
Stay, lady, stay, stay while the night is still ahead
I long to see you in the morning light
I long to reach for you in the night
Stay, lady, stay, stay while the night is still ahead.
"
274,One Of Us Must Know (Sooner Or Later),"

I didn't mean to treat you so bad
You shouldn't take it so personal
I didn't mean to make you so sad
You just happened to be there, that's all
When I saw you say goodbye to your friends and smile
I thought that it was well understood
That you'd be comin' back in a little while
I didn't know that you were sayin' goodbye for good.

But sooner or later one of us must know
But you just did what you're supposed to do
Sooner or later one of us must know
That I really did try to get close to you.

I couldn't see what you could show me
Your scarf had kept your mouth well hid
I couldn't see how you could know me
But you said you knew me and I believed you did
When you whispered in my ear
And asked me if I was leavin' with you or her
I didn't realize just what I did hear
I didn't realize how young you were.

But sooner or later one of us must know
But you just doing what you're supposed to do
Sooner or later one of us must know
That I really did try to get close to you.

I couldn't see when it started snowin'
Your voice was all that I heard
I couldn't see where we were goin'
But you said you knew and I took your word
And then you told me later as I apologized
That you were just kiddin' me, you weren't really from the farm
And I told you, as you clawed out my eyes
That I never really meant to do you any harm.

But sooner or later one of us must know
But you just did what you're supposed to do
Sooner or later one of us must know
That I really did try to get close to you.
"
275,God Knows,"

God knows you ain't pretty
God knows it's true
God knows there ain't anybody ever gonna take the place of you.

God knows it's a struggle
God knows it's a crime
God knows there gonna be no more water but fire next time.

God don't call it treason
God don't call it wrong
You're supposed to last a season
But its so strong for so long.

God knows it's fragile
God knows everything
God knows it could snap apart right now just like putting scissors to a string.

God knows it's terrifying
God sees it all unfold
There's a million reasons for you to be crying
You've been so bold and so cold.

God knows you when you see it
God knows you've got to weep
God knows the secrets of your heart
He'll tell them to you when you're asleep.

God knows there's a river
God knows how to make a flow
God knows you ain't gonna be taking nothing with you when you go.

God knows there's a purpose
God knows there's a chance
God knows you can raise above the darkest hour of every circumstance.

God knows there's a heaven
God knows it's out of sight
God knows we can get all the way from here today
if we gonna walk a million miles by candlelight.
"
276,Rank Strangers To Me,"

I wandered again to my home in the mountain
Where in youth's early days I was happy and free
I looked for my friends but I never could find them
I found they were all rank strangers to me.

Ev'rybody I met seemed to be a rank stranger
No mother or dad not a friend could I see
They knew not my name and I knew not their faces
I found they were all rank strangers to me.

They all moved a way, said a voice of a stranger
""To that bautiful home by the bright crystal sea""
Some beautiful day I'll meet 'em in heaven
Where no one will be a stranger to me.

Ev'rybody I met seemed to be a rank stranger
No mother or dad not a friend could I see
They knew not my name and I knew not their faces
I found they were all rank strangers to me.
"
277,Never Gonna Be The Same Again,"

Now you're here beside me, baby
You're a living dream
And every time you get this close
It makes me want to scream
You touched me and you knew
That I was warm for you and then
I ain't never gonna be the same again.

Sorry if I hurt you, baby
Sorry if I did
Sorry if I touched the place
Where your secrets are hid
But you meant more than everything
And I could not pretend
I ain't never gonna be the same again.

You give me something to think about, baby
Every time I see ya
Don't worry, baby, I don't mind leaving
I'd just like it to be my idea.

You taught me how to love you, baby
You taught me, oh, so well
Now, I can't go back to what was, baby
I can't unring the bell
You took my reality
And cast it to the wind
And I ain't never gonna be the same again.

Come on, baby
Come on, darlin'
You're too hot, darlin'
Come on, baby
Come on, honey
You're my baby
You're my honey
You got it baby
Come on, baby.
"
278,Tell Me,"

Tell me, I've got to know
Tell me, tell me before I go
Does that flame still burn
Does that fire still glow
Or has it died out and melted like the snow
Tell me
Tell me

Tell me, what are you focused upon
Tell me, will it come to me after you're gone
Tell me quick with a glance on the side
Shall I hold you close or shall I let you go by
Tell me
Tell me

Are you lookin' at me and thinking of somebody else
Can you feel the heat and the beat of my pulse
Do you have any secrets
That will only come out in time
Do you lay in your bed and stare at the stars
Is your main friend someone who's an old acquaintance of ours
Tell me
Tell me

Tell me, what's in back of them pretty brown eyes
Tell me, behind what door your treasure lies
Ever gone broke in a big way
Ever done the opposite of what the experts say
Tell me
Tell me

Is it some kind of game that you're playin' with me
Am I imagining something that never can be
Do you have any morals
Do you have any point of view
Is that a smile I see on your face
Will it take you to glory or to disgrace
Tell me
Tell me

Tell me, is my name in your book
Tell me, will you go back and take another look
Tell me the truth, tell me no lies
Are you someone whom anyone prays for or cries
Tell me
Tell me
"
279,Isis,"

I married Isis on the fifth day of May
But I could not hold on to her very long
So I cut off my hair and I rode straight away
For the wild unknown country where I could not go wrong.

I came to a high place of darkness and light
The dividing line ran through the center of town
I hitched up my pony to a post on the right
Went in to a laundry to wash my clothes down.

A man in the corner approached me for a match
I knew right away he was not ordinary
He said ""Are you looking for something easy to catch ?""
I said ""I got no money"". He said ""That ain't necessary"".

We set out that night for the cold in the North
I gave him my blanket he gave me his word
I said ""Where are we going ?"" He said ""We'd be back by the fourth""
I said ""That's the best new that I've ever heard"".

I was thinking about turquoise I was thinking about gold
I was thinking about diamonds and the world's biggest necklace
As we rode through the canyons through the devilish cold
I was thinking about Isis how she thought I was so reckless.

How she told me that one day we meet up again
And things would be different the next time we wed
If I only could hang on and just be her friend
I still can't remember all the best things she said.

We came to the pyramids all embedded in ice
He said ""There's a body I'm trying to find
If I carry it out it'll bring a good prize""
It was then that I knew what he had on his mind.

The wind it was howling and the snow was outrageous
We chopped through the night and we chopped through the dawn
When he died I was hoping that it wasn't contagious
But I made up my mind that I had to go on.
I broke into the tomb but the casket was empty
There was no jewels no nothing I felt I'd been had
When I saw that my partner was just being friendly
When I took up his offer I must-a been mad.

I picked up his body and I dragged him inside
Threw him down in the hole and I put back the cover
I said a quick prayer and I felt satisfied
Then I rode back to find Isis just to tell her I love her.

She was there in the meadow where the creek used to rise
Blinded by sleep and in need of a bed
I came in from the East with the sun in my eyes
I cursed her one time then I rode on ahead.

She said ""Where ya been ?"" I said ""No place special ?""
She said ""You look different"" I said ""Well I guess""
She said ""You been gone"" I said ""That's only natural""
She said ""You gonna stay ?"" I said ""If you want me to, Yeah "".

Isis oh Isis you mystical child
What drives me to you is what drives me insane
I still can remember the way that you smiled
On the fifth day of May in the drizzling rain.
"
280,Definitely Van Gogh,"

When I'd ask why the painting was deadly
Nobody could pick up my sign
'Cept for the cook, she was always friendly
But she'd only ask, ""What's on your mind?""
She'd say that especially when it was raining
I'd say ""Oh, I don't know""
But then she'd press and I'd say, ""You see that painting?
Do you think it's been done by Van Gogh?""

The cook she said call her Maria
She'd always point for the same boy to come forth
Saying, ""He trades cattle, it's his own idea
And he also makes trips to the north.
Have you ever seen his naked calf bleed?""
I'd say, ""Oh no, why does it show?""
And she'd whisper in my ear that he's a half breed
And I'd say, ""Fine, but can he paint like Van Gogh?""
I can't remember his name he never gave it
But I always figured he could go home
Til when he'd gave me his card and said, ""Save it""
I could see by his eyes he was alone
But it was sad how his four leaf clover
Drawn on his calling card showed
That it was given back to him a-many times over
And it most definitely was not done by Van Gogh.

It was either she or the maid just to please me
Though I sensed she could not understand
And she made a thing out of it by saying, ""Go easy
He's a straight, but he's a very crooked-straight man.""
And I'd say, ""Does the girl in the calendar doubt it?
And by the way is it Marilyn Monroe?""
But she'd just speak softly and say, ""Why you wanna know about it?""
And I'd say, ""I was just wondering if she ever sat for Van Gogh?""

It was either her or the straight man who introduced me
To Jeanette, Camilla's friend
Who later on falsely accused me of stealing her locket and pen
When I said ""I don't have the locket""
She said ""You steal pictures of everybody's mother I know""
And I said ""There's no locket
No picture of any mother I would pocket
Unless it's been done by Van Gogh.""

Camilla's house stood on the outskirts,
How strange to see the chandeliers destroyed
While [?] beneath the velvet carpet
of fox hunts and love far before...
[?]
"
281,I'll Be Your Baby Tonight,"

Close your eyes, close your door
You don't have to worry any more
I'll be your baby tonight.

Shut the light, shut the shade
You don't have to be afraid
I'll be your baby tonight.

Well, that mockingbird's gonna sail away
We're gonna forget it
That big, fat moon is gonna shine like a spoon
But we're gonna let it
You won't regret it.

Kick your shoes off, do not fear
Bring that bottle over here
I'll be your baby tonight.
"
282,O' Come All Ye Faithful (Adeste Fideles),"

O come, all ye faithful,
Joyful and triumphant,
O come ye,
O come ye to Bethlehem;
Come and behold Him
Born the King of angels;
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ, the Lord.

Sing, choirs of angels,
Sing in exultation,
Sing, all ye citizens
Of heaven above;
Glory to God,
Glory in the highest;
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ, the Lord.

Yea, Lord, we greet Thee,
Born this happy morning,
Jesus, to Thee be
All glory given;
Son of the Father,
Now in flesh appearing;
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ, the Lord.
"
283,Little Drummer Boy,"

Come they told me
Pa rum pum pum pum
A new born King to see,
Pa rum pum pum pum
Our finest gifts we bring
Pa rum pum pum pum
To lay before the King
Pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
So to honor Him
Pa rum pum pum pum,
When we come.

Little Baby
Pa rum pum pum pum
I am a poor boy too,
Pa rum pum pum pum
I have no gift to bring
Pa rum pum pum pum
That's fit to give our King
Pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
Shall I play for you!
Pa rum pum pum
On my drum.

Mary nodded
Pa rum pum pum pum
The ox and lamb kept time
Pa rum pum pum pum
I played my drum for Him
Pa rum pum pum
I played my best for Him
Pa rum pum pum pum
Rum pum pum pum
Rum pum pum pum
Then He smiled at me
Pa rum pum pum pum
Me and my drum.
"
284,Is Your Love In Vain ?,"

Do your love me, or are you just extending goodwill ?
Do you need me half as bad as you say, or are you just feeling guilt ?
I've been burned before and I know the score
So you won't hear me complain
Will I be able to count on you
Or is you love in vain ?

Are you so fast that you cannot see that I must have solitude ?
When I am in the darkness, why do you intrude ?
Do you know my world, do you know my kind
Or must I explain ?
Will you let me be myself
Or is you love in vain ?

Well I've been to the mountain and I've been in the wind
I've been in and out of happiness
I have dined with kings, I've been offered wings
And I've never been too impressed.

All right, I'll take a chance, I will fall in love with you
If I'm a fool you can have the night, you can have the morning too
Can you cook and sew, make flowers grow
Do you understand my pain ?
Are you willing to risk it all
Or is you love in vain ?

Can you cook and sew, make flowers grow
Do you understand my pain ?
Are you willing to risk it all
Or is you love in vain ?
"
285,I And I,"

Been so long since a strange woman has slept in my bed
Look how sweet she sleeps, how free must be her dreams
In another lifetime she must have owned the world, or been faithfully wed
To some righteous king who wrote psalms beside moonlit streams.

I and I 
In creation where one's nature neither honors nor forgives
I and I
One say to the other, no man sees my face and lives.

Think I'll go out and go for a walk
Not much happening here, nothing ever does
Besides, if she wakes up now, she'll just want me to talk
I got nothing to say, 'specially about whatever was.

I and I 
In creation where one's nature neither honors nor forgives
I and I
One say to the other, no man sees my face and lives.

Took an untrodden path once, where the swift don't win the race
It goes to the worthy, who can divide the word of truth
Took a stranger to teach me, to look into justice's beautiful face
And to see an eye for an eye and a tooth for a tooth.

I and I 
In creation where one's nature neither honors nor forgives
I and I
One say to the other, no man sees my face and lives.

Outside of two men on a train platform there's nobody in sight
They're waiting for spring to come, smoking down the track
The world could come to an end tonight, but that's all right
She could still be there sleeping when I get back.

I and I 
In creation where one's nature neither honors nor forgives
I and I
One say to the other, no man sees my face and lives.
Noontime, and I'm still pushing myself along the road, the darkest part
Into the narrow lanes, I can't stumble or stay put
Someone else is speaking with my mouth, but I'm listening only to my heart
I've made shoes for everyone, even you, while I still go barefoot.

I and I 
In creation where one's nature neither honors nor forgives
I and I
One say to the other, no man sees my face and lives.
"
286,The Times They Are A-Changin',"

Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
And accept it that soon
You'll be drenched to the bone
If your time to you
Is worth savin'
Then you better start swimmin'
Or you'll sink like a stone
For the times they are a-changin'

Come writers and critics
Who prophesize with your pen
And keep your eyes wide
The chance won't come again
And don't speak too soon
For the wheel's still in spin
And there's no tellin' who
That it's namin'
For the loser now
Will be later to win
For the times they are a-changin'

Come senators, congressmen
Please heed the call
Don't stand in the doorway
Don't block up the hall
For he that gets hurt
Will be he who has stalled
There's a battle outside
And it is ragin'
It'll soon shake your windows
And rattle your walls
For the times they are a-changin'

Come mothers and fathers
Throughout the land
And don't criticize
What you can't understand
Your sons and your daughters
Are beyond your command
Your old road is
Rapidly agin'
Please get out of the new one
If you can't lend your hand
For the times they are a-changin'

The line it is drawn
The curse it is cast
The slow one now
Will later be fast
As the present now
Will later be past
The order is
Rapidly fadin'
And the first one now
Will later be last
For the times they are a-changin'
"
287,Oxford Town,"

Oxford Town, Oxford Town
Ev'rybody's got their heads bowed down
The sun don't shine above the ground
Ain't a-goin' down to Oxford Town

He went down to Oxford Town
Guns and clubs followed him down
All because his face was brown
Better get away from Oxford Town

Oxford Town around the bend
He comes to the door, he couldn't get in
All because of the color of his skin
What do you think about that, my frien'?

Me and my gal, my gal's son
We got met with a tear gas bomb
I don't even know why we come
Goin' back where we come from

Oxford Town in the afternoon
Ev'rybody singin' a sorrowful tune
Two men died 'neath the Mississippi moon
Somebody better investigate soon
"
